epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,30.8587,1.39221,1.37661,1.30887,0.45634,0.3125,0.30689,0.16048,1.91272,2.68922,1.90855,0.0015477,0.0015477,0.0015477
43,31.5372,1.18397,1.17685,1.18062,0.45634,0.3125,0.30689,0.16048,1.91272,2.68922,1.90855,0.00158219,0.00158219,0.00158219
44,32.3311,1.2384,1.2678,1.25854,0.87821,0.90231,0.92406,0.58144,1.20592,1.43218,1.24599,0.00161655,0.00161655,0.00161655
45,33.0542,1.26262,1.22485,1.18205,0.87821,0.90231,0.92406,0.58144,1.20592,1.43218,1.24599,0.00165077,0.00165077,0.00165077
46,33.8078,1.13019,1.13742,1.18939,0.77637,0.9375,0.92598,0.63651,1.08263,1.43759,1.12592,0.00168487,0.00168487,0.00168487
47,34.5444,1.22487,1.15952,1.13643,0.77637,0.9375,0.92598,0.63651,1.08263,1.43759,1.12592,0.00171883,0.00171883,0.00171883
48,35.2656,1.13732,1.18497,1.1506,0.99326,0.9375,0.93601,0.67481,1.15666,1.40587,1.28059,0.00175265,0.00175265,0.00175265
49,35.9437,1.14546,1.15699,1.25635,0.99326,0.9375,0.93601,0.67481,1.15666,1.40587,1.28059,0.00178635,0.00178635,0.00178635
50,36.6464,1.09454,1.08081,1.13537,0.98989,0.9375,0.93753,0.67957,1.07471,1.44506,1.22783,0.00181992,0.00181992,0.00181992
51,37.3435,1.13116,1.13952,1.25225,0.98989,0.9375,0.93753,0.67957,1.07471,1.44506,1.22783,0.001835,0.001835,0.001835
52,38.0388,1.09735,1.07816,1.19332,1,0.80799,0.94523,0.67969,1.10677,1.96595,1.14079,0.0018317,0.0018317,0.0018317
53,38.7125,1.20235,1.13683,1.14849,1,0.80799,0.94523,0.67969,1.10677,1.96595,1.14079,0.0018284,0.0018284,0.0018284
54,39.4407,1.22167,1.10124,1.15929,1,0.917,0.967,0.69279,1.08291,1.77119,1.13751,0.0018251,0.0018251,0.0018251
55,40.1209,1.18146,1.13171,1.19532,1,0.917,0.967,0.69279,1.08291,1.77119,1.13751,0.0018218,0.0018218,0.0018218
56,40.8308,0.96735,1.03793,1.11456,0.9257,0.875,0.91545,0.52514,1.19679,1.5913,1.21929,0.0018185,0.0018185,0.0018185
57,41.5004,1.11278,1.03457,1.15344,0.9257,0.875,0.91545,0.52514,1.19679,1.5913,1.21929,0.0018152,0.0018152,0.0018152
58,42.2195,1.05758,0.97304,1.10501,0.81587,0.875,0.86591,0.58996,1.2073,1.59228,1.19572,0.0018119,0.0018119,0.0018119
59,42.9038,1.01221,0.94422,1.09432,0.81587,0.875,0.86591,0.58996,1.2073,1.59228,1.19572,0.0018086,0.0018086,0.0018086
60,43.6089,1.11188,1.12963,1.18626,0.86212,0.875,0.91791,0.64531,0.99318,1.39757,1.09842,0.0018053,0.0018053,0.0018053
61,44.2707,0.98813,0.96539,1.09428,0.86212,0.875,0.91791,0.64531,0.99318,1.39757,1.09842,0.001802,0.001802,0.001802
62,44.98,0.995,0.96989,1.12566,0.88243,0.875,0.93774,0.6616,0.94227,1.24584,1.08692,0.0017987,0.0017987,0.0017987
63,45.6477,0.98098,0.94568,1.1075,0.88243,0.875,0.93774,0.6616,0.94227,1.24584,1.08692,0.0017954,0.0017954,0.0017954
64,46.3574,1.0614,1.02089,1.11398,0.83031,0.91823,0.94875,0.70899,0.8336,1.31415,1.01467,0.0017921,0.0017921,0.0017921
65,47.0211,1.0536,1.02169,1.10753,0.83031,0.91823,0.94875,0.70899,0.8336,1.31415,1.01467,0.0017888,0.0017888,0.0017888
66,47.7646,1.06029,0.98332,1.10825,0.89365,0.75,0.83648,0.61078,0.83285,1.32504,1.01235,0.0017855,0.0017855,0.0017855
67,48.465,1.07949,0.96106,1.09745,0.89365,0.75,0.83648,0.61078,0.83285,1.32504,1.01235,0.0017822,0.0017822,0.0017822
68,49.1824,1.07866,0.96118,1.11659,0.90962,0.8125,0.91083,0.6815,0.84469,1.08391,1.03819,0.0017789,0.0017789,0.0017789
69,49.8611,0.98894,0.96172,1.10099,0.90962,0.8125,0.91083,0.6815,0.84469,1.08391,1.03819,0.0017756,0.0017756,0.0017756
70,50.5588,1.05397,0.98602,1.15614,0.92982,0.875,0.92971,0.69772,0.85147,0.88861,0.99867,0.0017723,0.0017723,0.0017723
71,51.2166,1.12034,0.92938,1.09262,0.92982,0.875,0.92971,0.69772,0.85147,0.88861,0.99867,0.001769,0.001769,0.001769
72,51.8932,1.07267,0.94498,1.14331,1,0.92272,0.94414,0.70144,0.83269,0.97126,1.01773,0.0017657,0.0017657,0.0017657
73,52.5638,0.96945,0.90613,1.09552,1,0.92272,0.94414,0.70144,0.83269,0.97126,1.01773,0.0017624,0.0017624,0.0017624
74,53.2871,1.04684,0.99378,1.12479,0.93594,0.9375,0.94521,0.71725,0.85664,0.94933,1.03863,0.0017591,0.0017591,0.0017591
75,53.973,0.98867,0.94137,1.05186,0.93594,0.9375,0.94521,0.71725,0.85664,0.94933,1.03863,0.0017558,0.0017558,0.0017558
76,54.6836,0.97617,0.88458,1.09571,0.93392,0.9375,0.94837,0.70869,0.84363,1.00346,1.02243,0.0017525,0.0017525,0.0017525
77,55.349,1.02989,0.92852,1.12555,0.93392,0.9375,0.94837,0.70869,0.84363,1.00346,1.02243,0.0017492,0.0017492,0.0017492
78,56.0709,1.04039,0.83421,1.11365,1,0.91907,0.967,0.70743,0.9148,0.94999,1.04234,0.0017459,0.0017459,0.0017459
79,56.7358,0.98099,0.86796,1.07876,1,0.91907,0.967,0.70743,0.9148,0.94999,1.04234,0.0017426,0.0017426,0.0017426
80,57.4379,0.96082,0.84476,1.09752,1,0.92044,0.983,0.75433,0.8325,0.87609,1.02657,0.0017393,0.0017393,0.0017393
81,58.1138,1.0211,0.84514,1.07696,1,0.92044,0.983,0.75433,0.8325,0.87609,1.02657,0.001736,0.001736,0.001736
82,58.8583,1.06109,0.94196,1.12253,0.99428,0.875,0.94523,0.76734,0.76669,0.92617,1.00021,0.0017327,0.0017327,0.0017327
83,59.5339,1.00675,0.91652,1.12498,0.99428,0.875,0.94523,0.76734,0.76669,0.92617,1.00021,0.0017294,0.0017294,0.0017294
84,60.2435,0.9421,0.85538,1.08048,0.98217,0.8125,0.91633,0.76543,0.71786,1.13762,0.98695,0.0017261,0.0017261,0.0017261
85,60.9136,1.02851,0.86256,1.07851,0.98217,0.8125,0.91633,0.76543,0.71786,1.13762,0.98695,0.0017228,0.0017228,0.0017228
86,61.606,0.96999,0.90766,1.08261,0.90414,0.875,0.88136,0.73272,0.74261,1.13792,1.00031,0.0017195,0.0017195,0.0017195
87,62.2683,0.92878,0.87003,1.09686,0.90414,0.875,0.88136,0.73272,0.74261,1.13792,1.00031,0.0017162,0.0017162,0.0017162
88,62.9803,1.09425,1.07895,1.186,1,0.92449,0.97674,0.79942,0.7381,0.81448,0.99529,0.0017129,0.0017129,0.0017129
89,63.6484,1.04025,0.86282,1.19356,1,0.92449,0.97674,0.79942,0.7381,0.81448,0.99529,0.0017096,0.0017096,0.0017096
90,64.3754,0.98526,0.86593,1.10171,1,0.98856,0.995,0.80894,0.70239,0.69392,0.96197,0.0017063,0.0017063,0.0017063
91,65.0396,0.96595,0.875,1.08993,1,0.98856,0.995,0.80894,0.70239,0.69392,0.96197,0.001703,0.001703,0.001703
92,65.7493,0.9448,0.83545,1.07154,0.9408,0.99355,0.99147,0.79222,0.78115,0.70362,0.97465,0.0016997,0.0016997,0.0016997
93,66.4234,0.98525,0.84544,1.09896,0.9408,0.99355,0.99147,0.79222,0.78115,0.70362,0.97465,0.0016964,0.0016964,0.0016964
94,67.1515,0.99019,0.84857,1.08161,0.9825,0.9375,0.98833,0.77059,0.8028,0.70423,0.96952,0.0016931,0.0016931,0.0016931
